Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
958,2017-10-03,propertyshare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,asuka pravega beenext,Seed Funding,0.0
959,2017-03-14,mydermacy,Consumer Internet,Online Dermatology consultation platform,New Delhi,cyber carrier,Private Equity,0.0
960,2017-03-15,latestone,eCommerce,Tech Accessories e-tailer,Hyderabad,florintree mathew cyriac chidambaram palaniappan bharat sheth,Private Equity,28.66595
961,2017-03-15,frapperz,Consumer Internet,On-demand home services provider,Kolkata,undisclosed investor,Seed Funding,0.8557
962,2017-03-16,mpaani,Consumer Internet,Loyalty rewards app,Mumbai,idg blume saha fund,Private Equity,11.551949999999998
963,2017-03-16,shilpmis,Technology,Virtual Reality platform,Surat,puneet gupta nimitt desai others,Seed Funding,0.0
964,2017-03-16,popxo,Consumer Internet,Digital Media publication for women,New Delhi,gree kalaari capital and idg india summit media atul goel and gurpreet singh,Private Equity,26.526699999999998
965,2017-03-16,fitso,Consumer Internet,Fitness Mobile App,Gurgaon,sujeet kumar bhupender singh yashish dhaiya,Seed Funding,1.7114
966,2017-03-17,farmart,Technology,Farming rental equipment provider,Gurgaon,indian angel network,Seed Funding,0.0
967,2017-03-21,flipkart,eCommerce,ECommerce Marketplace,Bangalore,microsoft ebay tencent holdings,Private Equity,11979.8
968,2017-03-21,airpay,Technology,Online payment Gateway,Mumbai,kalaari capital rakesh and rajesh jhunjhunwala,Private Equity,31.40419
970,2017-03-22,the mons co,eCommerce,Pregnancy & Baby Care etailer,New Delhi,shripad nadkarni nandu nandkishore,Seed Funding,0.0
971,2017-03-22,haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,ravi saxena sandeep raju,Seed Funding,1.6343869999999998
972,2017-03-23,ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,sequoia capital kinzon capital,Private Equity,128.355
973,2017-03-23,markets and markets,Technology,Marketing Research Company,Pune,ftv capital zodius capital,Private Equity,479.192
974,2017-03-24,bizom,Technology,supply chain automation platform,Bangalore,ojas,Seed Funding,3.2687739999999996
975,2017-03-24,babyonboard,Consumer Internet,Parenting Mobile App,Bangalore,mahavir sharma vishal jain rohit sethi gaurav luniya,Seed Funding,0.0
976,2017-03-24,delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,carlyle group tiger global,Private Equity,855.6999999999999
977,2017-03-27,sport flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,vikas bajaj amit kharbanda,Seed Funding,0.0
978,2017-03-28,fynd,ECommerce,Online fashion marketplace,Mumbai,venture catalysts,Private Equity,4.2785
979,2017-03-28,wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,0.0
980,2017-03-28,donething,Consumer Internet,On-demand Personal Assistant service,Gurgaon,brand capital,Private Equity,2.5670999999999995
981,2017-03-29,zapyle,ECommerce,Luxury Fashion Marketplace,Bangalore,undisclosed investors,Seed Funding,0.0
982,2017-03-29,ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,ankit gupta puneet motihar,Seed Funding,2.7810249999999996
983,2017-03-29,perpule,eCommerce,Self-Checkout ECommerce App,Bangalore,kstart capital,Seed Funding,5.562049999999999
985,2017-03-29,licious,ECommerce,Online Meat Ordering platform,Bangalore,mayfield india 3one4 capital sistema asia fund neoplux technology fund,Private Equity,85.57
986,2017-03-29,medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,vinod martin hemant kaul prof ram kumar kakani others,Seed Funding,0.42785
987,2017-03-30,indus os,Technology,Mobile OS creator,Mumbai,jsw ventureast,Private Equity,0.0
988,2017-03-30,emflux motors,Technology,Electric Motorcycle manufacturer,Bangalore,meher roy nikhil arora meet kanodia krit sankalp nitish singh risabh gupta,Seed Funding,0.0
989,2017-03-30,klinic app,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurgaon,om chaudhry,Seed Funding,0.0
990,2017-03-31,jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,malini patel stelcore management services anjani prasad,Seed Funding,1.3263349999999998
991,2017-03-31,oriano solar,Technology,Turnkey Solar Solutions,Mumbai,samridhi fund,Private Equity,25.670999999999996
992,2017-03-31,bigbasket,ECommerce,Online Grocer,Bangalore,trifecta capital,Private Equity,59.899
993,2017-03-31,rooter,Consumer Internet,Sports engagement platform,New Delhi,intex,Private Equity,0.0
994,2017-03-31,falconbrick,Technology,Real-Estate Workflow mobile app,Bangalore,satveer thakral letsventure mumbai angels,Seed Funding,0.0
996,2017-02-02,clodura,Technology,Intelligent Sales Assistant,Pune,undisclosed investors,Seed Funding,0.0
997,2017-03-02,stockroomio,Consumer Internet,Curated Platform for Developers,Hyderabad,satya d sinha gyanendra singh,Seed Funding,0.0
998,2017-06-02,capital float,Consumer Internet,Online lending platform,Bangalore,ifmr capital finance,Private Equity,21.3925
999,2017-06-02,imanagemyhotel,Technology,Hotel Management Solution,Kolkata,jaarvis accelerator,Seed Funding,0.0
1000,2017-07-02,inner hour,Consumer Internet,Online Counselling Platform,Mumbai,batlivala karani securities venture works,Seed Funding,3.85065
1001,2017-07-02,travel triangle,Consumer Internet,Online travel agent marketplace,Noida,rb investments saif partners bessemer venture partners,Private Equity,85.57
1002,2017-08-02,wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,earlsfield capital,Seed Funding,8.557
1003,2017-08-02,zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,pi blume,Private Equity,10.268399999999998
1004,2017-08-02,cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,temasek holdings,Private Equity,470.635
